"","country","code","healthexp_usd_percap_2019","mat_mort_2017","health_exp_gdp_2019","infant_mort_2020","healthexp_usd_percap_2019_z","infant_mort_2020_z","mat_mort_2017_z","healthexp_usd_percap_2019_z_transformed","infant_mort_2020_z_transformed","mat_mort_2017_z_transformed","life_exp_2019","life_exp_2019_z","life_exp_2019_z_transformed"
"73","India","IND",63.7,145,3.0141468,27,-0.573622210799619,0.309942555319737,-0.0966928508887939,-0.370205426586898,0.117252251033884,-0.21946152832001,70.91,-0.182731709015599,0.44982820720795
"74","Indonesia","IDN",120.1,177,2.90493584,19.5,-0.544207556128583,-0.0734363845234511,0.0361177690340871,-0.341232878831266,-0.0331247577784581,-0.133052698773846,70.518,-0.233588627283551,0.441916761318022
"75","Iran","IRN",470.4,16,6.71061659,11.1,-0.361513344581348,-0.502820797147822,-0.632085662452908,-0.194848175203394,-0.303487046312459,-1.16803853116469,76.103,0.490992720998377,0.542948943276071
"76","Iraq","IRQ",253.3,79,4.47671509,21.3,-0.474738903607625,0.0185745610389141,-0.370614754479736,-0.279624764146047,0.00799282544472833,-0.482295858513702,71.576,-0.0963268427746386,0.462947729795953
"77","Ireland","IRL",5428.6,5,6.67931509,2.6,2.22436858431817,-0.937316928970102,-0.677739313051399,0.508444681081547,-1.20284973430514,-1.65246143778282,82.70243902,1.34718438134143,0.638208060733961
"78","Israel","ISR",3456.4,3,7.46131897,2.9,1.1957944364065,-0.921981771376375,-0.686039976796579,0.341591680353173,-1.10780391441539,-1.85511385985688,82.80487805,1.3604745175051,0.639533752828344
"79","Italy","ITA",2905.5,2,8.66856861,2.5,0.90848001693356,-0.942428648168012,-0.690190308669169,0.280687616954271,-1.23979357276338,-2.00834465780106,83.49756098,1.45034114800668,0.648393303793964
"80","Jamaica","JAM",327.4,80,6.09748316,11.4,-0.436093054119614,-0.487485639554095,-0.366464422607146,-0.24879255598986,-0.290293961345302,-0.476857834187298,71.767,-0.0715470688226511,0.466638248034723
"81","Japan","JPN",4360.5,5,10.74372482,1.8,1.66731552307466,-0.978210682553376,-0.677739313051399,0.426074392452201,-1.66175637387525,-1.65246143778282,84.35634146,1.56175678239819,0.659132126429848
"82","Jordan","JOR",334,46,7.58246946,12.9,-0.432650913679386,-0.410809851585457,-0.507575706275207,-0.246149640204109,-0.229744523412861,-0.71574009880246,76.044,0.483338235850905,0.54199564696229
"83","Kazakhstan","KAZ",273,10,2.78745675,8.9,-0.464464635929975,-0.615278619501824,-0.656987653688448,-0.271211845255353,-0.414853677549802,-1.36640686615629,73.18,0.111771363607496,0.493007679843554
"84","Kenya","KEN",83.4,342,4.59182692,31.2,-0.56334794312197,0.524634761631923,0.720922528011443,-0.35986448972817,0.183165817449507,0.152570399831526,62.943,-1.21634667799718,0.251310447028905
"85","Korea (Dem. People・・s Rep.)","PRK",NA,89,NA,11.6,NA,-0.477262201158276,-0.329111435753836,NA,-0.281716095205751,-0.430756557238533,73.198,0.114106630262656,0.493333479183236
"86","Korea (Rep.)","KOR",2624.5,11,8.1641655,2.6,0.761928280008715,-0.937316928970102,-0.652837321815858,0.24598822630623,-1.20284973430514,-1.32640154099067,83.22682927,1.41521721829236,0.644952074705236
"87","Kosovo","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Kuwait","KWT",1758.7,12,5.49601221,7.6,0.310382038622486,-0.681730969074643,-0.648686989943268,0.117397931592318,-0.497205618220233,-1.28977250858208,79.685,0.955710785375436,0.597224531431945
"89","Kyrgyzstan","KGZ",62.1,60,4.49454117,15.7,-0.574456669088159,-0.267681714044,-0.449471060058947,-0.371056211330778,-0.135300121413283,-0.601142099214887,71.6,-0.0932131539010903,0.463413186239956
"90","Laos","LAO",68.2,185,2.59852362,35.3,-0.5712752968631,0.734215248746199,0.0693204240148074,-0.36782149170059,0.239103000603325,-0.113892737704997,68.138,-0.542362773910406,0.390517776705442
"91","Latvia","LVA",1166.8,19,6.57814217,3.4,0.00168462550570474,-0.896423175386829,-0.619634666835138,0.000731007996578795,-0.984737407414636,-1.09493125052985,75.38780488,0.398205425683382,0.531249628960365
"92","Lebanon","LBN",663.1,29,8.64661503,6,-0.261013274455307,-0.76351847624119,-0.578131348109238,-0.131363362788487,-0.626202784917919,-0.914107993001022,79.236,0.897458856032807,0.590781539206041
"93","Lesotho","LSO",124.2,544,11.26946354,69.9,-0.542069256764199,2.50287009122278,1.55928956627463,-0.33920019908101,0.544424031205426,0.353971896691024,54.173,-2.35414048720622,-0.189861939363594
"94","Liberia","LBR",52.6,661,8.47005749,58.1,-0.579411265176366,1.89968722586949,2.04487839536766,-0.376142363769176,0.462351155345624,0.438523108935242,61.104,-1.4549330879328,0.188947292118334
"95","Libya","LBY",NA,72,NA,9.5,NA,-0.584608304314369,-0.399667077587866,NA,-0.381542189924069,-0.522397057950139,72.463,0.0187499085102443,0.479827134933352
"96","Lithuania","LTU",1370,8,7.00600433,2.7,0.10766082815029,-0.932205209772193,-0.665288317433628,0.0444067973846932,-1.16880367873247,-1.45952433442481,76.28292683,0.514335894691035,0.545843268325821
"97","Luxembourg","LUX",6220.7,5,5.37075996,2.3,2.63747759078852,-0.95265208656383,-0.677739313051399,0.560800326467677,-1.32469915505827,-1.65246143778282,82.63902439,1.33895715518097,0.637385361730883
"98","Macedonia","MKD",436.9,NA,7.25409985,5.2,-0.378984814997655,-0.804412229824464,NA,-0.206897780367545,-0.708658304514324,NA,76.60243902,0.555788459314619,0.550935916053774
"99","Madagascar","MDG",19.8,335,3.68728375,36.3,-0.596517660091437,0.785332440725291,0.691870204903312,-0.394175469239572,0.251719096487274,0.143598738203803,65.882,-0.83504952802393,0.335447965357499
"100","Malawi","MWI",30.4,349,7.39341164,29,-0.590989373929859,0.412176939277921,0.749974851119573,-0.388265408902977,0.149889115226938,0.16136046974207,64.119,-1.06377592319332,0.28695561624167
"101","Malaysia","MYS",436.6,29,3.82514191,7.4,-0.379141275926756,-0.691954407470462,-0.578131348109238,-0.207007211957991,-0.511385000646888,-0.914107993001022,75.76,0.44649291751392,0.537377390363128
"102","Maldives","MDV",854.4,53,8.04001141,5.5,-0.161243355331738,-0.789077072230736,-0.478523383167077,-0.0763640263086986,-0.675876208963887,-0.654672119176787,80.116,1.0116274480629,0.603320594148189
"103","Mali","MLI",34.3,562,3.89389849,58.8,-0.588955381851543,1.93546926025486,1.63399553998125,-0.386111033686125,0.467677536878019,0.368100021819299,59.664,-1.64175442034569,0.132978300317306
"104","Malta","MLT",2531.9,6,8.21444321,5.6,0.713634006559461,-0.783965353032827,-0.673588981178808,0.233918072018697,-0.665476592460186,-1.57821484529489,82.85853659,1.36743601746214,0.640226551327168
"105","Mauritania","MRT",57.9,766,3.30329728,49,-0.576647122095577,1.43452077885976,2.48066324198962,-0.373297483598097,0.386413485641256,0.502517689890854,65.687,-0.86034825012151,0.330343093249376
"106","Mauritius","MUS",685.9,61,6.19943714,14.8,-0.249122243843611,-0.313687186825183,-0.445320728186357,-0.124430760929304,-0.163477892936265,-0.594006400553793,74.23585366,0.248754688325707,0.51171691924628
"107","Mexico","MEX",540.4,33,5.43305254,11.8,-0.325005794457721,-0.467038762762458,-0.561530020618878,-0.170699955334627,-0.27330437646314,-0.858644372464742,74.202,0.244362614806086,0.511129388328371
"108","Moldova","MDA",284.3,19,6.3779459,12.5,-0.458571274267161,-0.431256728377094,-0.619634666835138,-0.266458706274581,-0.245083728118266,-1.09493125052985,70.935,-0.179488283105652,0.450327908199683
"109","Mongolia","MNG",163.4,NA,3.76607823,13.2,-0.521625028694968,-0.395474693991729,NA,-0.320231550818276,-0.218585514439742,NA,71.822,-0.0644115318207691,0.467695172999534
"110","Montenegro","MNE",735.2,45,8.32983208,2,-0.223410497827971,-0.967987244157558,-0.511726038147797,-0.109808484482187,-1.49467693767566,-0.725209738431719,76.68292683,0.566230709250171,0.552209435449889
"111","Morocco","MAR",174.2,70,5.30845118,16,-0.515992435247323,-0.252346556450272,-0.407967741333046,-0.31514785053602,-0.126299662069601,-0.534569172567866,74.27,0.253184733281139,0.51230872555258
"112","Mozambique","MOZ",39.5,289,7.83351135,52.8,-0.586243392413787,1.62876610838031,0.500954938764171,-0.383255057590081,0.419751946943734,0.0795267124710113,61.166,-1.44688939167614,0.1912023861047
"113","Myanmar","MMR",60,250,4.67856407,35,-0.575551895591868,0.718880091152472,0.33909199573316,-0.372175401643683,0.235245581418193,0.0166539994056788,66.61,-0.740600965526304,0.353992938829135
"114","Namibia","NAM",427.3,195,8.49700546,30.1,-0.383991564728895,0.468405850454922,0.110823742740708,-0.210413340811854,0.166846106161034,-0.0910735426747572,63.075,-1.19922138919266,0.255460323583138
"115","Nepal","NPL",53.2,186,4.44515085,23.6,-0.579098343318163,0.136144102590825,0.0734707558873974,-0.375819364852206,0.0554334185149714,-0.111556101870012,69.558,-0.358136182225475,0.421910426937335
"116","Netherlands","NLD",5335.3,5,10.13031101,3.6,2.17570923536768,-0.886199736991011,-0.677739313051399,0.501840732024552,-0.94385673422196,-1.65246143778282,82.11219512,1.27060788700353,0.630489697784058
"117","New Zealand","NZL",4211,9,9.74117661,3.9,1.5893458267392,-0.870864579397283,-0.661137985561038,0.413190057624726,-0.888954618597932,-1.41047469120278,81.70731707,1.218080208694,0.625114833787063
"118","Nicaragua","NIC",160.8,98,8.4039259,13.8,-0.522981023413846,-0.364804378804274,-0.291758448900525,-0.321464343679548,-0.197092504436578,-0.389082794586018,74.054,0.225161533419207,0.508551471317257
"119","Niger","NER",31.4,509,5.6686306,45.6,-0.590467837499521,1.26072232613084,1.41402795073398,-0.387711985361484,0.354247223276484,0.325110725057162,62.897,-1.22231458167148,0.249854910080963
